,awardedBy,player,name,id,points,timestamp,quality
0,Sassyteaux,Lethanglas,Dawnwalkers,39701,20,2022-11-23 02:37:28,4
1,Sassyteaux,Gwynnael,Gemmed Wand of the Nerubians,39712,50,2022-11-23 02:39:01,4
2,Sassyteaux,Grizzleebear,Ruthlessness,40075,20,2022-11-23 02:40:14,4
3,Sassyteaux,Arzans,Thunderstorm Amulet,40064,10,2022-11-23 02:44:14,4
4,Sassyteaux,Arzans,Belt of False Dignity,39735,5,2022-11-23 02:45:02,4
5,Sassyteaux,Braewynn,Ablative Chitin Girdle,39759,5,2022-11-23 02:45:43,4
6,Sassyteaux,Fluke,Digested Silken Robes,40062,5,2022-11-23 02:46:25,4
7,Sassyteaux,Majitazi,Shroud of Luminosity,40251,20,2022-11-23 02:47:15,4
8,Sassyteaux,Drakdon,Undiminished Battleplate,39767,5,2022-11-23 02:48:00,4
9,Sassyteaux,Drakdon,Legplates of Double Strikes,40318,5,2022-11-23 02:48:56,4
10,Sassyteaux,Vanderlay,Fool's Trial,40065,20,2022-11-23 02:49:41,4
11,Sassyteaux,Progresso,Boots of Forlorn Wishes,40326,20,2022-11-23 02:50:46,4
12,Sassyteaux,Gwynnael,Dying Curse,40255,80,2022-11-23 02:52:39,4
13,Sassyteaux,Sassyteaux,Damnation,40348,5,2022-11-23 02:55:12,4
14,Sassyteaux,Fluke,Breastplate of the Lost Conqueror,40625,80,2022-11-23 02:59:28,4
15,Sassyteaux,Drakdon,Legplates of the Lost Protector,40635,5,2022-11-23 03:35:17,4
16,Sassyteaux,Grizzleebear,Legplates of the Lost Vanquisher,40636,10,2022-11-23 03:35:48,4
17,Sassyteaux,Progresso,Cincture of Polarity,40301,20,2022-11-23 03:36:23,4
18,Sassyteaux,Haislicat,Mantle of the Lost Vanquisher,40639,5,2022-11-23 03:36:55,4
19,Sassyteaux,Haislicat,Legplates of the Lost Vanquisher,40636,5,2022-11-23 03:37:36,4
20,Sassyteaux,Smokestacks,Split Greathammer,40264,5,2022-11-23 03:45:07,4
21,Sassyteaux,Braewynn,Girdle of Chivalry,40278,50,2022-11-23 04:05:49,4
22,Sassyteaux,Carlitoh,Gauntlets of the Disobedient,40188,20,2022-11-23 04:07:03,4
23,Sassyteaux,Majitazi,Girdle of the Gambit,40272,5,2022-11-23 04:07:48,4
24,Sassyteaux,Grizzleebear,Sand-Worn Band,40107,5,2022-11-23 04:09:11,4
25,Sassyteaux,Arzans,Dying Curse,40255,20,2022-11-23 04:09:59,4
26,Sassyteaux,Cyne,Fleshless Girdle,40263,5,2022-11-23 04:12:36,4
27,Sassyteaux,Dreshden,Strong-Handed Ring,40074,80,2022-11-23 04:13:26,4
28,Sassyteaux,Lethanglas,Tunic of Masked Suffering,40193,50,2022-11-23 04:15:17,4
29,Sassyteaux,Drakdon,Mantle of the Lost Protector,40638,5,2022-11-23 04:16:00,4
30,Sassyteaux,Arzans,Shawl of the Old Maid,40253,10,2022-11-23 04:18:10,4
31,Sassyteaux,Sassyteaux,Robes of Mutation,40602,5,2022-11-23 04:19:25,4
32,Sassyteaux,Cyne,Betrayer of Humanity,40384,80,2022-11-23 04:44:04,4
33,Sassyteaux,Majitazi,Crown of the Lost Protector,40632,20,2022-11-23 04:47:16,4
34,Sassyteaux,Springrolls,Crown of the Lost Protector,40632,5,2022-11-23 04:47:44,4
35,Sassyteaux,Majitazi,Ceaseless Pity,40378,10,2022-11-23 04:49:04,4
36,Sassyteaux,Dottymcdot,Legwraps of the Defeated Dragon,40376,5,2022-11-23 04:49:47,4
37,Sassyteaux,Braewynn,Gatekeeper,40370,5,2022-11-23 04:50:32,4
